major_name,major_code,discipline_category,major_category,length,degree,popular_value,fresh_salary,top_city,top_position,top_industry,subject_suggestion,summary,learn_what,career_direction,source_url
轨道交通信号与控制,080802T,工学,自动化类,四年,工学学士,630374,6500,华东地区,,,物理+化学,本专业旨在培养掌握电子技术、轨道交通信号技术、控制理论，轨道交通信号与控制专业的基础知识和专业知识，铁路通信及信号设备的维护管理以及应用开发技术的高技能应用型人才， 具有从事铁路通信和信号系统工程安装、管理、使用与维护、设计与施工等方面的工作能力。本专业学生主要学习轨道交通信号与控制方面的基础理论和基本知识，具有电子技术、计算机软硬件应用方面的基础理论，通过系统理论学习，具有设计、开发、集成及应用通信系统及铁路通信信号系统等方面的基本能力；具有铁路信号、信号基础设备的现场应用、安装、调试及运行管理能力。毕业生可在铁路通信及信号的设计、施工和维修养护等部门工作。,《电子技术》、《微机原理与接口技术》、《自动控制理论》、《信号与系统分析》、《计算机网络》、《电磁兼容及可靠性理论》、《铁路信号运营基础》、《信号基础设备原理》、《车站信号自动控制》、《区间信号自动控制》、《铁路信号远程控制》、《列车运行控制系统》。,公交/地铁乘务，计算机软件工程师，事业单位人员，车站货运作业组织员，城市轨道交通线路工，中等职业学校教师，通信技术工程师，地勤人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E4%BF%A1%E5%8F%B7%E4%B8%8E%E6%8E%A7%E5%88%B6%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
机器人工程,080803T,工学,自动化类,四年,工学学士,476956,,,,,物理+化学 / 物理+化学+生物,机器人工程主要研究工业机器人的结构、设计、应用等方面的基本知识和技术，进行机器人工作站的设计、装调与改造等，以提高工业生产的效率。例如：工业生产线使用的机器人的设计研发，自动焊接机器人的制造，激光加工机器人的装调等。 关键词：机器人 工业 编程 自动化。,《高级语言程序设计》、《电路分析》、《机械设计基础》、《自动控制原理》、《微机原理及接口技术》、《电机与电气控制技术》、《单片机原理及其应用》、《机械制造基础》、《PLC原理与应用》、《工业机器人控制系统》、《运动控制系统》、《工业机器人计算机编程》。,机器人类企业：机器人设计、装配、调试、改造、技术开发、机器人自动化生产线的设计、应用开发、程序设计、运行管理； 工业类企业：自动控制、设备运行、自动化生产。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%9C%BA%E5%99%A8%E4%BA%BA%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
邮政工程,080804T,工学,自动化类,四年,工学学士,93681,,,,,物理+化学,邮政工程（互联网与智慧物流）专业主要基于人工智能、大数据和物联网的物流信息技术和物流自动化技术，研究智慧物流系统的分析、设计、优化和运营管理，培养面向“互联网＋”和智能制造培养工学和管理学相结合的智慧物流高端复合型工程技术人才。例如：掌握智能化分拣系统，智能化无人仓储系统、无人机运输系统、基于大数据和人工智能的运输路线规划系统、无人驾驶配送系统、基于大数据和人工智能的智慧供应链管理系统等智慧物流系统的关键技术。 关键词：物流 智慧物流 大数据。,《控制科学与工程》、《计算机科学与技术》、《机械工程》、《管理科学与工程》。,政府部门、企事业单位、科研院所：技术、运营管理等 学习深造：控制科学与工程、计算机科学与技术、机械工程、管理科学与工程等相关的硕士、博士学科。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E9%82%AE%E6%94%BF%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
工业智能,080807T,工学,自动化类,四年,工学学士,91020,,,,,物理+化学,工业智能是融合了当下人工智能与工业自动化最前沿研究理论与技术的典型多学科交叉专业，涉及到控制论、自动化、计算机、数学等，以强化学生实践能力和创新意识为特色，目标是培养工业发展所需要的从人工经验到数据智能、从大批量流水线生产到以客户为中心的智能生产转变的创新应用型人才。,《工业数据建模》、《工业大数据分析》、《模式识别》、《智能检测技术》、《智能传感技术》、《数字信号处理》、《图像处理基础》、《工业物联网技术》等。,主要在工业类、机器制造类、科技类企业从事数控机床应用、机械研究、智能工作站调试运转、机器人生产制造等工作。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E5%B7%A5%E4%B8%9A%E6%99%BA%E8%83%BD%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
智能装备与系统,080806T,工学,自动化类,四年,工学学士,81082,,,,,物理+化学,智能装备与系统专业为满足国家发展智能制造需求而设立，专业定位为培养国家现代制造业迫切需求的复合型人才，使人才具备复杂控制、智能感知、人工智能、数据科学及优化决策方面的理论基础，能够设计、研制智能装备系统，从而服务我国现代制造业和国家智能制造发展战略。,《现代工程制图》、《机械设计基础》、《电气控制与PLC应用》、《传感器与检测技术》、《机电传动控制》、《数控机床》、《工业机器人技术》、《智能设备故障诊断与维修》、《人工智能技术》、《机器视觉技术及应用》、《物联网技术与应用》等。,可从事智能装备的设计制造和检测，包括工业机器人、机床和自动化生产线等智能装备的故障诊断、维护维修，以及智能系统的开发，运行、管理及装备与系统集成等方面的复合型、应用型技能人才。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%99%BA%E8%83%BD%E8%A3%85%E5%A4%87%E4%B8%8E%E7%B3%BB%E7%BB%9F%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
核电技术与控制工程,080805T,工学,自动化类,四年,工学学士,76925,,,,,物理+化学,核电技术与控制工程将核工程与核技术、测量技术、控制理论与控制工程、计算机控制技术融合在一起，形成具有核电特色的控制类专业，主要培养掌握核电技术与控制工程学科领域的基本理论和应用技术，了解自动化领域基础，具备核电仪表与控制相关技术知识和解决复杂实际工程问题能力的专业人才。例如：核电数字化仪表控制系统等的开发、设计、生产、运行、调试和维护等。 关键词：核技术、核电站、核工程。,《核反应堆物理及热工》、《自动控制理论》、《核电厂设备及运行》、《计算机技术》、《检测技术》、《计算机测控技术》、《过程控制系统及装置》 。,核电工程行业、科研设计单位、高等院校：研究、规划、设计、施工、核电厂运行管理及设备制造、研发、技术咨询等 。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%A0%B8%E7%94%B5%E6%8A%80%E6%9C%AF%E4%B8%8E%E6%8E%A7%E5%88%B6%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
智能工程与创意设计,080808T,工学,自动化类,四年,工学学士,61820,,,,,,培养适应智能工程行业发展需要，具有扎实的工程基础理论知识和设计功底，又有专业审美能力，旨在培养学生科技与艺术的融合能力，以智能工程为中心的创新设计能力，以及结合现代信息技术和社会需求设计与开发智能产品的创新能力，能在智能工程和相关领域从事以智能产品创新设计、先进装备创新设计为重点的设计、研究、管理工作等方面工作的德智体美劳全面发展的高素质应用型人才。,《色彩构成》《平面设计表达》《综合造型基础》《工程制图》《创意思维》《线性系统控制工程》《计算机语言及程序设计》《数据结构》《电路原理》《模拟电子技术基础工程力学》《机械设计与制造基础》《机械系统设计技术》。,该专业毕业生可以就职于需要创意设计、产品设计、交互设计、智能方案设计、视觉传达设计技术的跨领域创新性设计企业，担任智能设备、电子产品、智能家居、机器人、工业产品的设计和生产管理等职务。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%99%BA%E8%83%BD%E5%B7%A5%E7%A8%8B%E4%B8%8E%E5%88%9B%E6%84%8F%E8%AE%BE%E8%AE%A1%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
交通运输,081801,工学,交通运输类,四年,工学学士,660034,5700,上海市,物流/快递,物流运输,物理+化学,本专业培养具有国际视野的交通运输专业人才，学生将掌握交通运输规划与管理、城市交通管理与控制、交通运输系统仿真、国际运输业务、汽车理论及构造等方面的基本理论和技能。学生毕业后能在国家、省、市的城乡规划、公安交通管理、港口运输、国际进出口、汽车保险和销售等部门从交通规划、交通设施设计、运输贸易管理、汽车服务等工作。,《航空运输地理》、《空气动力学》、《飞机电子系统》、《航空运输规划学》、《智能交通运输系统》、《机械原理与机械设计基础》、《交通运输规划与设计》、《交通运输经济学》、《交通运输企业管理》、《交通运输设备》 部分高校按以下专业方向培养：航空物流、空中乘务、民航交通、汽车维修、城市轨道交通、民航电子电气、民航机务工程、汽车运用工程、民航运输业务管理、汽车电子技术与检测诊断。,事业单位人员，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，车站货运作业组织员，公交/地铁乘务，销售代表，考研，大学教师，中等职业学校教师，地勤人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E4%BA%A4%E9%80%9A%E8%BF%90%E8%BE%93%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
船舶电子电气工程,081808TK,工学,交通运输类,四年,工学学士,507466,4400,华东地区,,,物理+化学,本专业主要培养适应船舶自动化和信息化的要求，熟练掌握电气技术、电子技术、控制技术以及网络技术等理论知识，具备一定的工程素质和实际技能，满足国际海事组织STCW国际公约中规定的“电气、电子和控制工程”、“维护和修理”和“船舶操作控制和船上人员管理”等职能要求，既能够胜任现代船舶电子电气装置的管理、维护和修理等任务，又能够从事船舶电子电气工程领域的产品研发、工程设计、监造、技术支持等工作的复合型船舶工程技术类人才。,《电路原理》、《电力电子技术》、《通讯电子线路》、《自动控制原理》、《传感器原理及应用》、《船舶电站》、《船舶电力拖动系统》、《船舶电气设备及系统》、《船舶机舱自动控制系统》、《船舶电子电气工艺》。,电气工程技术人员，船舶驾驶/操作，销售工程师，系统工程师，船舶工程技术人员，采购人员，船员/水手,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E8%88%B9%E8%88%B6%E7%94%B5%E5%AD%90%E7%94%B5%E6%B0%94%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
交通设备与控制工程,081806T,工学,交通运输类,四年,工学学士,496226,6400,广州市,,,物理+化学,交通设备与控制工程专业是车辆工程、机械工程和电气工程等学科的交叉和综合，主要面向新一代智能交通系统和智能交通检测系统，运用电子、信息、计算机和控制等多学科的基本理论和技术，解决交通运输领域当中的信息采集、数据处理及交通检测与控制等系列问题。通过专业学习，要求学生能够广泛、系统地掌握信息领域当中多个方向的前沿理论和技术，并融汇交通运输的行业背景。本专业通过大量的专业实践锻炼，着重培养学生在工程实践中发现、分析和解决问题的能力，毕业生可以独立从事智能交通系统的研发、设计与实现以及交通运输规划与管理等方面的工作。,《交通工程学》、《交通管理与控制》、《智能交通系统》、《计算机工程图学》、《机械设计基础》、《数字电子技术》、《控制工程基础》、《测试技术与信号处理》、《流体传动与控制》、《CAD/CAM技术》。,事业单位人员，公交/地铁乘务，动车组机械师，道路/桥梁/隧道工程技术，地勤人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E4%BA%A4%E9%80%9A%E8%AE%BE%E5%A4%87%E4%B8%8E%E6%8E%A7%E5%88%B6%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
