major_name,major_code,discipline_category,major_category,length,degree,popular_value,fresh_salary,top_city,top_position,top_industry,subject_suggestion,summary,learn_what,career_direction,source_url
计算机科学与技术,080901,工学,计算机类,四年,理学学士、工学学士,5769535,7200,北京市,后端开发,IT软件,物理+化学 / 物理+化学+生物,本专业培养具有良好的科学素养，系统地、较好地掌握计算机科学与技术包括计算机硬件、软件与应用的基本理论、基本知识和基本技能与方法，能在科研部门、教育单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的计算机科学与技术学科的高级专门科学技术人才；要求学生掌握计算机科学与技术方面的基本理论和基本知识，接受从事研究与应用计算机的基本训练，具有研究和开发计算机系统的基本能力。,《C++程序设计》、《Java语言程序设计》、《数据库系统原理》、《计算机网络原理》、《计算机系统结构》、《数据结构》、《操作系统》、《软件工程》、《离散数学》 部分高校按以下专业方向培养：NET、JAVA、大数据、云计算、软件工程、金融信息化、嵌入式软件、传媒设计与制作、计算机网络技术、移动互联网信息与技术。,软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，事业单位人员，IT项目经理/主管，IT技术支持/维护工程师，银行会计/柜员，软件测试，大学教师，网页(WEB)前端开发工程师,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E8%AE%A1%E7%AE%97%E6%9C%BA%E7%A7%91%E5%AD%A6%E4%B8%8E%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
软件工程,080902,工学,计算机类,四年,工学学士,4092846,7800,北京市,后端开发,IT软件,物理+化学 / 物理+化学+生物,软件工程是研究大规模软件开发方法、工具和管理的一门工程科学，其特点是按工程化的原则和方法来组织和规范软件开发过程，软件工程技术则主要研究与软件开发各个工作流程相关的、先进实用的软件开发方法、技术和工具；软件工程技术专业面向国民经济电子信息化建设和发展的需要，培养具有扎实的软件理论和知识基础，对整个软件过程有整体了解、掌握软件工程领域的前沿技术，具有国际竞争能力，能从事大型软件项目系统分析、设计、编程、测试和软件项目管理等工作的复合型、实用型的高层次软件工程技术人才；主要涵盖软件工程学科和计算机学科的基本理论、基础知识、基本技能的研究，软件的分析与开发，计算机应用系统、计算机网络系统的设计与开发等专业内容。,《C/C++程序设计》、《Java语言程序设计》、《软件工程》、《电路与模拟电子技术》、《Linux操作系统与网络编程》、《WEB技术与应用》、《数据结构与算法》、《数据库开发技术》、《算法分析》、《人工智能技术》 部分高校按以下专业方向培养：JAVA、大数据、云计算、软件设计、数字媒体、金融软件开发、嵌入式应用开发、软件开发与测试、移动互联网开发、移动设备应用开发。,软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，IT技术支持/维护工程师，手机软件开发工程师，考研，软件测试，银行会计/柜员，事业单位人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E8%BD%AF%E4%BB%B6%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
数字媒体技术,080906,工学,计算机类,四年,工学学士,1848470,7800,华东地区,视觉/交互设计,互联网,物理 / 物理+化学,本专业培养具有扎实的自然科学和外语基础知识，掌握虚拟现实、计算机动画、互动媒体、影视编辑、网络游戏、手机游戏等数字媒体相关的基本理论与方法，具有一定的艺术修养，能综合运用所学知识与技能去分析、设计、制造数字媒体产品的复合型高级技术应用人才；学生主要学习数字信息处理与传播、数字媒体设计和开发等方面的专业知识，熟悉信息传播理论、数字出版流程和数字媒体艺术设计，接受软件工程和数字媒体技术实践的基本训练，未来能够在虚拟现实、互动新媒体、影视动画、游戏设计、手机应用、平面媒体、网络媒体等文化创意相关行业，从事各类数字媒体产品的设计、制作、开发、应用、运行管理等方面的工作。,《素描实习》、《游戏设计基础》、《计算机三维建模》、《网页制作与脚本编程》、《Flash编程技术》、《数字媒体后期制作》、《动画插件编程》、《动画渲染》、《计算机美术基础》、《计算机图形学原理》 部分高校按以下专业方向培养：游戏开发、移动媒体开发、游戏设计技术、动漫设计与制作、动漫与影视后期制作、数字影视动画技术与应用、虚拟现实及游戏开发技术。,软件工程师，事业单位人员，后期制作，公务员(中央国家机关)，公务员(省级机关)，网页设计/制作/美工，公务员(区县级及以下机关)，游戏设计/开发，考研，平面设计，公务员(地市级机关),https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%95%B0%E5%AD%97%E5%AA%92%E4%BD%93%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
物联网工程,080905,工学,计算机类,四年,工学学士,1401779,8400,深圳市,,,物理+化学,本专业学生主要学习计算机、电子、通信和自动化等相关学科的基本理论和基本知识；系统地掌握物联网技术领域的基本理论与基本知识、物联网体系结构、物联网感知与标识的基本理论与技术、物联网信息处理技术和物联网安全技术等专业知识，掌握物联网系统的软硬件设计和开发能力，具备在物联网系统及其应用方面进行综合研究、开发和集成的能力；未来可从事物联网及互联网的协议标准与系统、通信架构、无线传感器、信息安全等的综合设计、开发、应用、管理与维护工作，或可继续深造，在高校或科研机构从事研究和教学工作。,《嵌入式原理及应用》、《无线传感器网络》、《汇编语言与微机原理》、《传感器微操作系统原理与设计》、《应用密码学》、《光电子物理基础》、《模拟电子技术》、《数字建模》、《微处理器系统设计》、《物联网信息处理技术》 部分高校按以下专业方向培养：电商物联网、移动嵌入式、智能机器人、物联网大数据采集与分析。,手机软件开发工程师，IT技术支持/维护工程师，手机软件开发工程师，高中教师，考研,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%89%A9%E8%81%94%E7%BD%91%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
数据科学与大数据技术,080910T,工学,计算机类,四年,理学学士、工学学士,1132456,,,,,物理+化学 / 物理+化学+生物,数据科学与大数据技术主要研究计算机科学和大数据处理技术等相关的知识和技能，从大数据应用的三个主要层面（即数据管理、系统开发、海量数据分析与挖掘）出发，对实际问题进行分析和解决。例如：今日头条通过算法匹配个人更偏爱的信息内容，淘宝根据消费者日常购买行为等数据进行商品推荐，电子地图根据过往交通情况数据为车辆规划最优路线等。 关键词：大数据 分析 算法 匹配。,《数据结构》、《数据库原理与应用》、《计算机操作系统》、《计算机网络》、《Java语言程序设计》、《Python语言程序设计》、《大数据算法》、《人工智能》、《数据建模》、《大数据平台核心技术》。,IT类企业：大数据技术、大数据研究、数据管理、数据挖掘、算法工程、应用开发。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%95%B0%E6%8D%AE%E7%A7%91%E5%AD%A6%E4%B8%8E%E5%A4%A7%E6%95%B0%E6%8D%AE%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
信息安全,080904K,工学,计算机类,四年,理学学士、工学学士、管理学学士,1113255,8200,北京市,后端开发,IT软件,物理+化学 / 物理+化学+生物,本专业是计算机、通信、数学、法律、管理等学科的交叉学科，主要研究确保信息安全的科学与技术，培养能够从事计算机、通信、电子商务、电子政务、电子金融等领域的信息安全高级专门人才。本专业以信息、信息过程和信息系统的基本理论为基础，着重学习通信、编码、信息网络与系统、信息与安全保密、信息对抗等基本理论、基本原理和技术，学习在信息、信息过程和信息系统等方面进行信息安全与保密的关键技术的研究方法，典型设备、部件的分析、设计、研究、开发的方法和能力。,《模拟电路基础》、《密码学导论》、《计算机系统与网络安全技术》、《网络协议工程》、《网络防御与对抗》、《Linux 实践及应用》、《Python程序设计与应用实战》、《PKI原理与技术》、《操作系统及安全》、《Internet安全协议与分析》 部分高校按以下专业方向培养：保密。,软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，软件测试，警察，网络与信息安全工程师，IT技术支持/维护工程师，参军，事业单位人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E4%BF%A1%E6%81%AF%E5%AE%89%E5%85%A8%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
网络工程,080903,工学,计算机类,四年,工学学士,1010797,7900,北京市,技术支持,IT软件,物理+化学 / 物理+化学+生物,本专业培养学生系统地掌握计算机网和通信网技术领域的基本理论、基本知识；掌握各类网络系统的组网、规划、设计、评价的理论、方法与技术；获得计算机软硬件和网络与通信系统的设计、开发及应用方面良好的工程实践训练，特别是能获得较大型网络工程开发的初步训练。专业主干学科为计算机科学与技术、信息与通信工程；学生系统学习电路与电子学基础、离散数学、数字逻辑与数字系统、网络技术导论、算法与数据结构、计算机组成原理、通信原理、操作系统、计算机网络、现代交换原理、数据库系统原理等课程。,《电磁场与电磁波技术》、《模拟电路基础》、《Internet应用技术》、《局域网技术与组网工程》、《Web与数据库应用》、《通信网络理论》、《网络安全与信息加密技术》、《网络工程与网络管理》、《网络监控与管理》、《网络协议栈分析与设计》 部分高校按以下专业方向培养：物联网、铁道信号、智慧城市、渗透与测试、网络安全与攻防、网络工程与管理、移动互联网开发、云计算与大数据、网络系统开发与管理、网络系统集成与网络安全。,软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，考研，网络工程师，IT技术支持/维护工程师，银行会计/柜员，通信技术工程师，事业单位人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%BD%91%E7%BB%9C%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
电子与计算机工程,080909T,工学,计算机类,四年,工学学士,958806,7700,北京市,,,物理+化学,本专业是电子信息科学技术领域的宽口径专业，以计算机科学技术、通信工程、电子科学与技术为主干学科。所培养的学生具有扎实的自然科学基础，良好的外语水平，获得科学的、创造性的思维方法及独立从事科学研究能力的基本训练；掌握电子、通信计算机方面的学科基础知识；能从事信息的获取、处理、传输、变换技术、微电子设备的设计与计算机应用系统、电子信息系统的设计、制造、应用和开发的高级工程技术人才。,《固体物理学》、《材料机械性能》、《单片集成放大器电路设计》、《电路设计导论》、《多核计算与并行处理》、《工程概率方法》、《工程优化》、《基于微处理器的系统设计》、《控制系统分析与设计》、《数字通信信号与系统》。,IT类企业：电子系统的开发设计、智能设备的软硬件开发、技术支持、软件测试、技术管理； 电子类企业：电子技术、IC设计、工艺控制、电气工程； 政府、事业类单位：电子信息系统的维护管理。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%94%B5%E5%AD%90%E4%B8%8E%E8%AE%A1%E7%AE%97%E6%9C%BA%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
智能科学与技术,080907T,工学,计算机类,四年,理学学士、工学学士,648820,6300,北京市,后端开发,IT软件,物理+化学 / 物理+化学+生物,该专业以光、机、电系统的单元设计、总体集成及工程实现的理论、技术与方法为主要内容，培养具备基于计算机技术、自动控制技术、智能系统方法、传感信息处理等科学与技术，进行信息获取、传输、处理、优化、控制、组织等并完成系统集成的，具有相应工程实施能力，具备在相应领域从事智能技术与工程的科研、开发、管理工作的、具有宽口径知识和较强适应能力及现代科学创新意识的高级技术人才。,《软件开发技术》、《数据结构与算法》、《自然语言处理中的经验性方法》、《机器视觉技术》、《智能控制与智能计算》、《智能信息网络原理》、《Linux内核分析》、《计算机网络与WEB技术》、《数据分析基础》、《面向对象程序设计与实践》。,通信技术工程师，集成电路IC设计/应用工程师，供应链管理，软件工程师，公务员(地市级机关)，公务员(区县级及以下机关)，公务员(省级机关)，公务员(中央国家机关)，事业单位人员，市场营销专员/助理,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%99%BA%E8%83%BD%E7%A7%91%E5%AD%A6%E4%B8%8E%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
网络空间安全,080911TK,工学,计算机类,四年,工学学士,470510,,,,,物理+化学,网络空间安全主要研究网络空间的组成、形态、安全、管理等，进行网络空间相关的软硬件开发、系统设计与分析、网络空间安全规划管理等。例如：网络犯罪的预防，国家网络安全的维护，杀毒软件等安全产品的研发，网络世界的监管等。 关键词：网络 国家安全 网络犯罪 反黑客。,《计算机网络》、《信息安全数学基础》、《密码学》、《操作系统原理及安全》、《网络安全》、《通信原理》、《可信计算技术》、《云计算和大数据安全》、《电子商务和电子政务安全》、《网络舆情分析》。,IT类企业：网络安全、安全产品的研发、技术开发、运维工程、安全管理、安全防护； 政府、事业类单位：安全规划、安全管理、安全防御、舆情监管、网络犯罪防范。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%BD%91%E7%BB%9C%E7%A9%BA%E9%97%B4%E5%AE%89%E5%85%A8%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
空间信息与数字技术,080908T,工学,计算机类,四年,工学学士,289116,5700,北京市,销售业务,IT软件,物理+化学,空间信息与数字技术是一门集信息科学、空间科学、计算机科学、管理学等多门学科为一体的交叉学科。本专业培养适应经济与社会发展需求的，具备数字行业/区域/城市、空间信息技术等领域专业知识的综合、应用型高级人才；学生通过四年的系统培养，具有扎实的软件工程基础、通信及计算机技术、空间决策方法等复合知识结构，掌握大型数字工程设计和管理能力，能从事该领域的科学研究、技术开发、工程应用、信息服务和管理等工作。该专业毕业生具有深厚的空间信息基础理论和专业知识、扎实的计算机能力，可从事当前日益突出的具有空间信息行业特色的科学研究工作和工程技术工作。,《C/C++语言程序设计》、《地理信息系统技术》、《分布式空间信息处理及GPS应用实践》、《空间分析与建模》、《空间数据库原理与设计》、《空间信息共享服务》、《空间信息移动服务》、《空间信息应用编程技术实践》、《空间信息与传感器网》、《数字工程的原理和方法》。,软件工程师，公务员(区县级及以下机关)，公务员(地市级机关)，公务员(省级机关)，公务员(中央国家机关)，电力工程师/技术员，事业单位人员，网络运营专员/助理，销售代表，销售工程师,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%A9%BA%E9%97%B4%E4%BF%A1%E6%81%AF%E4%B8%8E%E6%95%B0%E5%AD%97%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
新媒体技术,080912T,工学,计算机类,四年,工学学士,209857,,,,,物理+化学,新媒体技术主要培养面向新媒体与内容产业应用需求，具备传播学、计算机、人工智能、大数据、媒体技术等专业技术知识的高水平、创新型、复合型人才，经过学习和培训，毕业生以在网络传媒、移动传媒、新闻出版等各类相关媒体单位从事与媒体产业相关的媒体数据挖掘、智能传播、数字产品开发与方案设计、内容创意、生产制作、营运管理工作。例如：网络社交媒体情感计算、舆情监控、新闻推荐等。 关键词：新媒体 互联网 自媒体 。,《传播学原理》、选题策划、《图形制作与图像处理》、《计算机基础》、《数字媒体基础》、《数字出版实务》、《网络编辑实务》、网络营销、《摄影与摄像》、《影视脚本编创》、《非线性视频编辑》、《图形元素程序设计》、《多媒体程序设计》 。,媒体行业：数据挖掘与分析、技术开发与方案设计、内容创意、生产制作、营运管理等 。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%96%B0%E5%AA%92%E4%BD%93%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
虚拟现实技术,080916T,工学,计算机类,四年,工学学士,184357,,,,,,虚拟现实技术专业在为学生讲述虚拟现实核心知识的同时，结合大量实例与应用，让学生深入理解虚拟现实设计理念以及开发流程，最终使学生具备扎实的核心素质与强大的自主研发能力。培养熟悉策划、设计、开发、管理等制作流程，具备独立制作、研发产品能力的虚拟现实综合应用型人才。,《计算机图形学》、《虚拟现实引擎》、《摄影摄像技术》、《云计算与大数据技术》、《人机工程学》、《数字图像处理》、《软件工程》、《操作系统》、《智能计算系统》、《影视剪辑》、《游戏创意与策划》等。,毕业生可在各类企事业单位虚拟现实、增强现实技术应用岗位工作，从事项目设计、项目交互功能开发、模型和动画制作、软硬件平台搭建和维护、全景拍摄和处理等方面工作。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E8%99%9A%E6%8B%9F%E7%8E%B0%E5%AE%9E%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
区块链工程,080917T,工学,计算机类,四年,工学学士,166520,,,,,物理+化学,本专业以新时代中国特色社会主义建设需求为指引，培养旨在应对社会经济和社会信息化的发展，培养德、智、体、美、劳全面发展，掌握计算机科学与技术基础知识、区块链技术基本理论和区块链项目开发方法，具备较强的团队协作、沟通表达、需求分析与识别、分析和解决问题以及终身学习等能力，能够从事区块链应用架构设计与实现、区块链系统研发和区块链运维、测试等工作，具有较强工程实践能力，且具有创新意识、创业精神的应用型人才。,《数据结构》、《现代密码学》、《云计算》、《计算机网络》、《经济学》、《应用统计学》、《区块链原理与技术》、《区块链应用研究》、《人工智能》《区块链金融》、《智能区块链》等。,毕业生能够在互联网金融行业、电子商务行业、物流行业、游戏行业等领域就业，就业岗位主要有区块链开发工程师、区块链网页设计师、区块链质量工程师、区块链开发员、金融数据分析师等。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E5%8C%BA%E5%9D%97%E9%93%BE%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
电影制作,080913T,工学,计算机类,四年,工学学士,133525,,,,,物理+化学,该专业将导演、制片、摄影、剪辑、美术、录音等专业整合，注重培养学生综合利用各种知识、技能和工具进行视听艺术表达和“讲故事”（Storytelling）的能力。例如：拍电影、电视剧，微电影、创作网络短片，有机会也可以成为电影导演、影视经纪人等。 关键词：电影 导演 经纪人 影视 。,《艺术概论》、《视听语言》、《导演艺术》、《电影摄影》、《电影录音》、《电影音乐》、《电影造型艺术》、《电影声音艺术》、《中外电影史》、《电视摄像》、《表演基础》、《节目策划》、《编辑基础》、《剧本写作》、《纪录片理论与创作》、《电影美学》、《电影评论》、《电影作品分析》、《美学原理》等 。,影视行业：在导演、编剧、摄影摄像、制片人、美术指导、录音师、剪辑师 。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%94%B5%E5%BD%B1%E5%88%B6%E4%BD%9C%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
密码科学与技术,080918TK,工学,计算机类,四年,工学学士,118797,,,,,物理+化学,本专业坚持立德树人，将以培养出爱国进取、创新思辨、具有扎实的数理和网络安全基础知识的人才为目标。专业毕业生应掌握密码理论与技术、密码管理、密码应用、密码测评等专业综合知识，具备相应的科学素养、实践能力、创新能力、系统思维能力，拥有较高的产业视角和国际视野。能够从事密码测评、密码管理、密码系统设计与研发等工作，也可从事计算机科学与技术应用相关邻域的工作。,《密码科学与技术导论》《密码学数学基础》《应用密码学》《对称密码理论》《公钥密码理论》《密码协议分析与设计》《密码工程与应用》《计算机与网络安全》《密码分析与应用》《密码测评与管理》《密码芯片分析与设计》《密码管理系统分析及应用》《密码学法律与标准》。,可以在科研机构、教育单位、政府部门，以及互联网、信息安全、金融、电子商务等企业中从事密码和信息安全相关的科研、开发、运维、管理等方面的工作。也可以在IT领域从事计算机应用等工作。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E5%AF%86%E7%A0%81%E7%A7%91%E5%AD%A6%E4%B8%8E%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
保密技术,080914TK,工学,计算机类,四年,工学学士,108550,,,,,物理+化学,保密技术专业，是一门以计算机和网络为基础的现代化保密技术学科专业，主要培养掌握保密技术专业领域的基本理论和技术，能够从事保密技术相关工作，知识、能力、素质协调发展的专业人才。例如：从事保密科学技术研究、保密产品研发、保密技术教育培训、保密技术防护等专业工作。 关键词：保密工作 保密技术 信息安全 。,《信息安全概论》、《保密技术概论》、《密码学》、《计算机与网络安全》、《保密管理概论》、《保密法学》、《数据结构》、《计算机网络原理》、《数据库系统原理》、《操作系统、计算机组成原理》、《离散数学》 。,国家保密行政管理部门、企事业单位：保密理论研究、保密技术开发、保密组织管理等 。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E4%BF%9D%E5%AF%86%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
服务科学与工程,080915T,工学,计算机类,四年,工学学士,53654,,,,,,本专业侧重于IT与业务的结合，把与现代服务相关的各学科知识进行有机集成，使学生熟悉并获取现代服务业相关新知识与新技术，并培养学生运用相关知识求解问题和提升自身技能的能力，使其毕业后能够快速适应目前现代服务产业和信息技术蓬勃发展的全球化环境，着力培养面向现代服务业和信息技术领域的高层次复合型人才和引领未来产业发展的创新型人才。,《软件服务工程导论》、《服务业务分析与建模》、《软件服务使能技术》、《服务系统体系结构与设计》、《软件测试与质量保证》、《软件与社会》、《Java程序设计》、《Web应用开发技术》、《移动计算技术》、《电子商务与互联网金融》、《云计算与软件服务》、《ERP与供应链管理》、《人工智能与智慧服务》、《服务管理》等 。,主要面向IT领域、金融机构、服务型制造企业就业，毕业生将会从事服务信息系统研发工程师、服务信息系统架构师、服务系统管理者、服务系统分析师、服务咨询师等工作。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%9C%8D%E5%8A%A1%E7%A7%91%E5%AD%A6%E4%B8%8E%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
工业软件,080919T,工学,计算机类,四年,工学学士,389,,,,,,工业软件是中国普通高等学校的一个本科专业，属于计算机类，涉及软件工程、人工智能等，聚焦解决国产工业软件 “卡脖子” 难题，包括工业设计、生产管理、智能控制等核心模块。,程序设计基础、算法与数据结构、AI 软件工程、数据库、操作系统、计算机网络、机器学习、电子技术基础、计算机组成原理、数字孪生技术、工业大数据分析与应用等。,毕业生可进入新能源汽车、智能装备、半导体等行业，从事工业软件研发、智能制造系统设计等工作。在传统制造业，可助力汽车、航空航天等行业的数字化升级，开发用于产品设计、生产流程模拟的软件；也可投身工业软件企业，研发各类工业软件产品，如设计软件、管理软件等。在新兴的新能源、物联网、人工智能领域，可开发风电设备监控软件、工业物联网数据分析软件等。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E5%B7%A5%E4%B8%9A%E8%BD%AF%E4%BB%B6%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
电子信息工程,080701,工学,电子信息类,四年,理学学士、工学学士,1885663,6500,北京市,测试,电子技术,物理+化学 / 物理+化学+生物,本专业培养具备电子技术和信息系统的基础知识，能从事各类电子设备和信息系统的研究、设计、制造、应用和开发的高等工程技术人才。 本专业电子和信息工程方面的是一个较宽口径专业，学生主要学习信号的获取与处理、电厂设备信息系统等方面的专业知识，受到电子与信息工程实践的基本训练，具备设计、开发、应用和集成电子设备和信息系统的基本能力。,《信号与系统》、《电路分析》、《电子技术基础》、《高频电子技术》、《电子测量技术》、《模拟电路基础》、《电磁场与电磁波技术》、《RFID原理及应用》、《自动检测技术》、《计算机网络》、《传感与检测技术》、《网络与办公自动化技术》、《单片机原理及应用》、《数字信号与信息处理》、《ARM嵌入式系统》 部分高校按以下专业方向培养：电信、物联网、电子工程、通信工程、嵌入式系统、电子技术应用、电气及其自动化、电子设计自动化、移动互联网应用、航空电子设备维修、移动设备应用开发、汽车电子设计与开发。,软件工程师，事业单位人员，硬件工程师，公务员(中央国家机关)，公务员(省级机关)，IT技术支持/维护工程师，公务员(区县级及以下机关)，通信技术工程师，考研，IT项目经理/主管，公务员(地市级机关),https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%94%B5%E5%AD%90%E4%BF%A1%E6%81%AF%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
通信工程,080703,工学,电子信息类,四年,工学学士,1797508,6300,北京市,通信工程,电信设备,物理+化学 / 物理+化学+生物,本专业培养具备电子通信、信号与信息处理、计算机通信、应用电子技术、通信系统和通信网等方面的知识，能在电子通信与信息系统领域中从事研究、设计、制造、运营及在国民经济各部门和国防工业中从事开发、应用通信技术与设备的高级工程技术人才；业学生主要学习电子电路理论与技术、通信系统理论与技术、信号处理理论与技术、信息处理理论与技术、信息理论和通信网方面的基础理论、组成原理和设计方法，接受通信工程实践的基本训练，具备从事现代通信系统和网络设计、开发、调测和工程应用的基本能力。,《C/C++程序设计》、《模拟电路基础》、《电磁场与电磁波技术》、《通信原理》、《交换技术》、《单片机原理及其应用》、《TCP/IP网络原理与应用》、《TCP/IP与IPv6技术》、《JAVA网络编程技术》、《DSP技术》、《EDA技术应用》、《CPLD/FPGA应用开发技术》、《电磁兼容技术》、《数字信号处理基础》、《计算机网络组网技术》 部分高校按以下专业方向培养：海洋通信、移动互联网、通信网络管理、无线移动通信、移动通信技术、电信网规划与设计、通信系统运行管理、通信与广电建造师、通信设备安装与维护、无线多媒体广播技术。,通信技术工程师，软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，IT项目经理/主管，事业单位人员，移动通信工程师，硬件工程师，考研，公务员(区县级及以下机关),https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E9%80%9A%E4%BF%A1%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
人工智能,080717T,工学,电子信息类,四年,工学学士,1565599,,,,,物理+化学 / 物理+化学+生物,人工智能（Artificial Intelligence），英文缩写为AI。它是研究、开发用于模拟、延伸和扩展人的智能的理论、方法、技术及应用系统的一门新的技术科学。人工智能是计算机科学的一个分支，它企图了解智能的实质，并生产出一种新的能以人类智能相似的方式做出反应的智能机器，该领域的研究包括机器人、语言识别、图像识别、自然语言处理和专家系统等。例如：人脸识别技术，语音识别技术、基于用户兴趣的智能算法推荐技术。 关键字：人工智能 计算机科学 人脸识别 语音识别。,《人工智能、社会与人文》《人工智能哲学基础与伦理》《先进机器人控制》《认知机器人》《机器人规划与学习》《仿生机器人》《群体智能与自主系统》《无人驾驶技术与系统实现》《游戏设计与开发》《计算机图形学》《虚拟现实与增强现实》《人工智能的现代方法I》《问题表达与求解》《人工智能的现代方法II》《机器学习、自然语言处理、计算机视觉等》。,实际应用：机器视觉，指纹识别，人脸识别，视网膜识别，虹膜识别，掌纹识别，专家系统，自动规划，智能搜索，定理证明，博弈，自动程序设计，智能控制，机器人学，语言和图像理解，遗传编程等。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
