year,subject_category,school_code,school_name,special_group,sg_name,sg_info,major_code,major_name,plan_count,tuition,duration,source_url,source_file,matched_official_group
2025,综合,33,大连海事大学,422870,03,物理、化学(2科必选),080202,机械设计制造及其自动化,4,80000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,0
2025,综合,33,大连海事大学,422870,03,物理、化学(2科必选),080701,电子信息工程,2,80000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,0
2025,综合,33,大连海事大学,422870,03,物理、化学(2科必选),081001,土木工程,2,80000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,0
2025,综合,33,大连海事大学,422892,02,不限,030101K,法学,5,5520,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422892,02,不限,120407T,交通管理,4,5980,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422899,04,不限,030101K,法学,4,90000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,0
2025,综合,33,大连海事大学,422879,01,物理、化学(2科必选),0809,计算机类,4,5200,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422892,02,不限,0201,经济学类,4,5200,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422892,02,不限,120408T,海事管理,3,5200,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422879,01,物理、化学(2科必选),0808,自动化类,3,5200,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422879,01,物理、化学(2科必选),0807,电子信息类,3,5980,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422879,01,物理、化学(2科必选),0802,机械类,3,5200,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422879,01,物理、化学(2科必选),0818,交通运输类,2,5980,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,33,大连海事大学,422879,01,物理、化学(2科必选),0701,数学类,2,5200,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/33/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/33.json,1
2025,综合,34,哈尔滨工业大学,422872,02,物理、化学(2科必选),98360,工科试验班,1,6230,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/34/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/34.json,1
2025,综合,34,哈尔滨工业大学,422885,03,物理必选,120108T,大数据管理与应用,9,78000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/34/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/34.json,0
2025,综合,34,哈尔滨工业大学,422896,05,物理、化学(2科必选),070202,应用物理学,3,68000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/34/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/34.json,0
2025,综合,34,哈尔滨工业大学,422884,06,物理、化学(2科必选),070301,化学,3,68000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/34/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/34.json,0
2025,综合,34,哈尔滨工业大学,422887,04,物理、化学(2科必选),070101,数学与应用数学,2,68000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/34/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/34.json,0
2025,综合,34,哈尔滨工业大学,422900,01,物理、化学(2科必选),98360,工科试验班,1,5500,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/34/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/34.json,1
2025,综合,35,云南大学,422869,04,物理、化学(2科必选),071201,统计学,1,5600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422869,04,物理、化学(2科必选),071004,生态学,1,5600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422869,04,物理、化学(2科必选),071002,生物技术,1,5600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422869,04,物理、化学(2科必选),0710,生物科学类,1,5600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422869,04,物理、化学(2科必选),080503T,新能源科学与工程,1,5000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422877,05,物、化、生(3科必选),080910T,数据科学与大数据技术,2,5600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422893,06,物、化、生(3科必选),080717T,人工智能,2,65000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,0
2025,综合,35,云南大学,422883,01,历史必选,060101,历史学,1,4200,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422871,03,物理必选,020301K,金融学,1,8700,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422883,01,历史必选,050101,汉语言文学,1,4200,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422877,05,物、化、生(3科必选),080705,光电信息科学与工程,1,5000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422877,05,物、化、生(3科必选),080901,计算机科学与技术,1,5600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422890,02,思想政治必选,030101K,法学,1,5000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422877,05,物、化、生(3科必选),080701,电子信息工程,1,5600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422877,05,物、化、生(3科必选),080902,软件工程,1,5000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422871,03,物理必选,0201,经济学类,1,4500,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422877,05,物、化、生(3科必选),080717T,人工智能,1,5000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,35,云南大学,422890,02,思想政治必选,030504T,马克思主义理论,1,4500,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/35/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/35.json,1
2025,综合,36,长安大学,422866,02,物理、化学(2科必选),081006T,道路桥梁与渡河工程,2,75000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/36/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/36.json,0
2025,综合,36,长安大学,422866,02,物理、化学(2科必选),080207,车辆工程,1,75000,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/36/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/36.json,0
2025,综合,36,长安大学,422878,01,物理、化学(2科必选),080601,电气工程及其自动化,2,6600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/36/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/36.json,1
2025,综合,36,长安大学,422878,01,物理、化学(2科必选),081006T,道路桥梁与渡河工程,1,6600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/36/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/36.json,1
2025,综合,36,长安大学,422878,01,物理、化学(2科必选),080501,能源与动力工程,1,6600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/36/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/36.json,1
2025,综合,36,长安大学,422878,01,物理、化学(2科必选),162426,工科试验班,1,6600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/36/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/36.json,1
2025,综合,36,长安大学,422878,01,物理、化学(2科必选),080901,计算机科学与技术,1,6600,四年,https://static-data.gaokao.cn/www/2.0/schoolspecialplan/36/2025/31.json?a=www.gaokao.cn,data/shanghai/raw/plan_api/static/2025/36.json,1
