year,subject_category,score,same_score_count,cumulative_rank,source_url
2023,历史类,750,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,749,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,748,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,747,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,746,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,745,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,744,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,743,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,742,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,741,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,740,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,739,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,738,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,737,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,736,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,735,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,734,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,733,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,732,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,731,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,730,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,729,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,728,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,727,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,726,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,725,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,724,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,723,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,722,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,721,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,720,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,719,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,718,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,717,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,716,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,715,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,714,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,713,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,712,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,711,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,710,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,709,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,708,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,707,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,706,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,705,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,704,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,703,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,702,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,701,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,700,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,699,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,698,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,697,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,696,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,695,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,694,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,693,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,692,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,691,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,690,104,104,https://api.lx91.com/api/v1/seating/list
2023,历史类,689,104,104,https://api.lx91.com/api/v1/seating/list
