year,subject_category,school_code,school_name,special_group,sg_name,sg_info,min_score,min_rank,source_url
2024,综合,132,复旦大学,149761,01,不限,580,2684,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,132,复旦大学,149178,02,不限,580,2684,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,132,复旦大学,148780,03,物理、化学(2科必选),580,2684,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,132,复旦大学,148585,04,物理、化学(2科必选),580,2684,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,125,上海交通大学,149760,01,物理、化学(2科必选),580,2684,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,73,同济大学,149759,01,物理、化学(2科必选),580,2684,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,73,同济大学,149177,02,不限,576,3250,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,131,华东师范大学,149758,01,不限,571,3998,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,131,华东师范大学,149176,02,不限,569,4317,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,131,华东师范大学,148779,03,物理、化学(2科必选),575,3392,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,131,华东师范大学,148584,04,物理、化学(2科必选),567,4662,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,133,华东理工大学,149757,01,物理、化学(2科必选),552,7412,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,133,华东理工大学,149175,02,物理、化学(2科必选),559,6102,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,133,华东理工大学,148778,03,不限,542,9417,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,135,东华大学,149756,01,物理、化学(2科必选),543,9186,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,135,东华大学,149174,02,不限,539,10069,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,135,东华大学,148777,03,物理、化学(2科必选),545,8758,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,130,上海财经大学,149755,01,不限,564,5180,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,130,上海财经大学,149173,02,不限,561,5731,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,130,上海财经大学,148776,03,物理必选,567,4662,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,130,上海财经大学,148583,04,物理、化学(2科必选),569,4317,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,136,上海外国语大学,149754,01,不限,554,7021,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,136,上海外国语大学,149172,02,思想政治必选,557,6458,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,136,上海外国语大学,148775,03,物理必选,559,6102,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,136,上海外国语大学,148582,04,物理、化学(2科必选),565,5019,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,313,上海海事大学,149753,01,不限,532,11678,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,313,上海海事大学,149171,02,不限,493,21226,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,313,上海海事大学,148774,03,物理、化学(2科必选),510,17049,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,313,上海海事大学,148581,04,物理、化学(2科必选),506,18067,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,313,上海海事大学,148504,05,物理、化学(2科必选),493,21226,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,307,上海理工大学,149752,01,物理、化学(2科必选),540,9848,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,307,上海理工大学,149170,02,不限,521,14281,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,307,上海理工大学,148773,03,物理、化学(2科必选),525,13276,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,307,上海理工大学,148580,04,物理必选,524,13538,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,307,上海理工大学,148503,05,不限,502,19008,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,329,上海杉达学院,149751,01,不限,430,36436,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,329,上海杉达学院,149169,02,物理、化学(2科必选),423,37882,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,329,上海杉达学院,148772,03,化学必选,432,36033,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,329,上海杉达学院,148579,04,物理必选,429,36629,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,329,上海杉达学院,148502,05,不限,421,38266,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,323,华东政法大学,149750,01,不限,561,5731,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,323,华东政法大学,149168,02,不限,544,8973,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,323,华东政法大学,148771,03,不限,524,13538,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,323,华东政法大学,148578,04,物理、化学(2科必选),537,10538,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,318,上海对外经贸大学,149749,01,不限,534,11234,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,318,上海对外经贸大学,149167,02,不限,512,16483,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,318,上海对外经贸大学,148770,03,不限,512,16483,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,318,上海对外经贸大学,148577,04,物理必选,519,14753,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,318,上海对外经贸大学,148501,05,物理、化学(2科必选),519,14753,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,3427,复旦大学上海医学院,149748,01,物理、化学(2科必选),580,2684,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,115,上海海大,149545,01,物理、化学(2科必选),492,21473,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,115,上海海大,149019,02,历史必选,494,20956,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,115,上海海大,148694,03,不限,504,18539,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,115,上海海大,11504,04,,486,23040,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,115,上海海大,11505,05,,488,22514,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,115,上海海大,11506,06,,481,24337,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,327,上海戏剧学院,149746,01,不限,526,13085,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,317,上海电力大学,149745,01,物理、化学(2科必选),527,12860,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,317,上海电力大学,149165,02,物理、化学(2科必选),494,20956,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,317,上海电力大学,148768,03,物理、化学(2科必选),484,23553,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,317,上海电力大学,148575,04,物理必选,489,22270,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,317,上海电力大学,148499,05,不限,472,26492,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,326,上海音乐学院,149744,01,历史必选,497,20203,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,326,上海音乐学院,149164,02,不限,499,19729,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,76,上海大学,149743,01,物理、化学(2科必选),555,6832,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,76,上海大学,149163,02,物理、化学(2科必选),538,10306,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,76,上海大学,148767,03,物理必选,537,10538,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,76,上海大学,148574,04,不限,540,9848,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,120,交大医学,149420,01,物理、化学(2科必选),580,2684,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,310,上海中医药大学,149741,01,物理、化学(2科必选),557,6458,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,310,上海中医药大学,149162,02,物理、化学(2科必选),554,7021,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,310,上海中医药大学,148766,03,物理、化学(2科必选),526,13085,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,310,上海中医药大学,148573,04,物理、化学(2科必选),518,15023,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,310,上海中医药大学,148498,05,不限,517,15249,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,310,上海中医药大学,148466,06,化学必选,504,18539,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,149592,01,物理、化学(2科必选),468,27525,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,149055,02,历史必选,450,31904,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,148713,03,不限,505,18290,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,12204,04,,453,31179,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,12205,05,,442,33781,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,12206,06,,453,31179,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,12207,07,,465,28294,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,12208,08,,466,28028,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,12209,09,,458,29994,https://www.shmeea.edu.cn/download/20240719/198.pdf
2024,综合,122,上应大,12210,10,,464,28519,https://www.shmeea.edu.cn/download/20240719/198.pdf
