year,subject_category,score,same_score_count,cumulative_rank,source_url
2023,综合,619,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,620,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,621,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,622,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,623,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,624,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,625,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,626,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,627,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,628,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,629,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,630,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,631,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,632,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,633,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,634,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,635,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,636,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,637,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,638,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,639,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,640,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,641,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,642,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,643,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,644,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,645,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,646,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,647,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,648,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,649,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,650,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,651,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,652,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,653,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,654,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,655,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,656,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,657,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,658,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,659,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,660,48,48,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,618,13,61,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,617,9,70,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,616,16,86,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,615,17,103,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,614,13,116,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,613,20,136,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,612,21,157,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,611,17,174,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,610,23,197,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,609,15,212,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,608,32,244,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,607,27,271,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,606,29,300,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,605,38,338,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,604,56,394,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,603,43,437,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,602,40,477,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,601,58,535,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,600,56,591,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,599,54,645,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,598,60,705,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,597,65,770,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,596,58,828,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,595,74,902,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,594,62,964,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,593,75,1039,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,592,91,1130,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,591,69,1199,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,590,89,1288,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,589,78,1366,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,588,102,1468,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,587,105,1573,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,586,97,1670,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,585,110,1780,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,584,120,1900,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,583,111,2011,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,582,123,2134,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,581,128,2262,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,580,131,2393,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,579,127,2520,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,578,148,2668,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,577,153,2821,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,576,141,2962,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
2023,综合,575,156,3118,https://www.shmeea.edu.cn/download/20230623/2_0.pdf
